LAT,LON,ALT
1.34049,103.96257,45.0
1.34041,103.96294,65.0
1.34071,103.96333,45.0
1.34076,103.96371,45.0
1.34125,103.96495,45.0
1.34169,103.96484,45.0
1.34192,103.96437,45.0
1.34228,103.96350,45.0
1.34178,103.96307,45.0
1.34095,103.96199,45.0
